loudness_mean,loudness_std,brightness_mean,brightness_std,flux_mean,flux_std,zcr_mean,zcr_std,sharpness_mean,sharpness_std,hnr_mean,hnr_std,musicId
0.16880517,0.062088035,2902.651477481096,1118.9483259092585,1.831335,1.9698819,0.13201091754547215,0.08879647366482621,0.03633979,0.05191078,19.027428,7.653492,1
0.26106688,0.109349445,2654.1573246907597,941.4180180746516,1.694256,1.8760663,0.1078931495501161,0.07014810581247065,0.026410114,0.032519657,18.556139,5.1900473,10
0.1211151,0.08557835,2193.263443550944,1422.4193084978442,1.8696557,2.978668,0.06778681610390867,0.05678114774835647,0.020009918,0.05017916,28.620356,14.184827,100
0.2734504,0.078531265,3602.262511009753,703.3480645635838,1.150194,0.72783554,0.19465452967782507,0.07637189046654788,0.06943877,0.05334449,12.749093,3.4194498,1000
0.14541495,0.061992206,2532.4582225163863,411.8907649780912,1.1892563,0.8590858,0.1488360328968509,0.03604236878372269,0.020843932,0.040798124,18.269783,3.1325345,102
0.3453872,0.10565261,2556.952672862333,803.6143322740254,1.4223593,1.1434326,0.08169897366674711,0.053064065500438524,0.016394015,0.026358431,21.02146,5.020966,103
0.29416868,0.09431216,2972.007587023283,723.8796982644045,1.2033421,1.1175541,0.10991090000967492,0.05619698660340482,0.037386224,0.04222842,16.646473,5.380789,104
0.16079897,0.08816974,1922.4714451248642,939.6493556249659,1.3436902,1.249253,0.103262792061726,0.07122041581537397,0.0066184015,0.01795071,28.346064,7.461685,105
0.2786157,0.10288185,2734.095162419606,796.2055718247587,1.501625,1.6708103,0.11501895680147059,0.0569784394986353,0.033928048,0.03798834,17.114264,4.96315,106
0.28248027,0.13687702,2314.368501161737,817.012428882591,1.6791444,1.7425317,0.09004420230263158,0.05936984284369065,0.016701523,0.02670551,21.172773,5.4650855,107
0.29358461,0.099788725,3175.860464256692,697.6144743511586,1.3718904,1.5041033,0.14979312294407895,0.07315640883258799,0.06263257,0.056348134,13.653186,4.065471,108
0.28854668,0.10497505,2467.266513195358,756.5334511846897,1.5583812,1.6439849,0.10456928453947369,0.05665624455816078,0.024487253,0.039154638,18.679478,4.9307103,109
0.33866554,0.0862136,2236.81510667836,520.6523285192047,1.2590272,0.8221495,0.087411036063274,0.03590076757912967,0.016978621,0.033397377,20.165342,4.532643,113
0.24379803,0.09812282,2685.8244984916364,714.6431909218334,1.2689512,1.0766054,0.10975330459075078,0.046430878267274725,0.033620693,0.041041326,17.093904,5.5507975,114
0.31094903,0.13168566,2709.914640961424,659.6707162559868,1.974631,2.6530817,0.12586205072078174,0.06717644146714805,0.03698072,0.041770115,16.344282,4.653017,115
0.32273018,0.08735117,3146.2794535769212,774.1249397515861,1.1781018,0.6957726,0.1634032155311159,0.0770430338275454,0.052402977,0.050539937,14.165914,3.639357,116
0.2789254,0.077450156,2802.4472131927714,794.8624896822195,1.2834294,0.9614032,0.15709883329884106,0.0753506629817215,0.04158004,0.036560588,15.220609,3.61739,117
0.14880556,0.08133099,2232.1287604474096,990.3317177898497,1.281002,0.7719347,0.11287573468943499,0.07122645692745715,0.019171927,0.044703647,22.546955,6.325669,119
0.30051643,0.1191543,2278.6296204377045,906.2854452440276,1.4840958,1.7395049,0.06712002078862661,0.051587485001775714,0.016503563,0.035685707,21.861433,6.0713086,12
0.10572875,0.034554444,3210.2703669893335,612.213139080929,1.4365996,1.1719972,0.1501665144881966,0.05355133699167252,0.047810905,0.051539034,14.531168,3.4756353,120
0.20587978,0.06323309,2127.558858351519,521.0101797209118,1.1473712,0.96005917,0.08174364780863003,0.03096418135688879,0.011272913,0.012266864,21.221764,3.8622673,123
0.3126319,0.108006716,3140.35715832408,691.9997367115587,1.335625,1.1947739,0.14838723575367646,0.07894810525574714,0.043236386,0.05159378,15.432442,3.9658,124
0.2593118,0.08524973,2225.1716573650665,710.3325016291943,1.6138448,1.5722882,0.07316622424051858,0.045964185290380974,0.013541416,0.024450598,21.229744,4.543977,126
0.3095032,0.13130866,2804.0923922440566,987.1049526494126,1.5398463,1.5684603,0.12612470975232198,0.10346333585872892,0.038509086,0.06280658,17.716772,5.36566,127
0.13027965,0.05242068,1910.9154492133778,510.50817080436025,1.2611585,1.0482515,0.08229671485071301,0.0355889100177466,0.009498801,0.033113185,22.949728,4.032387,128
0.28414324,0.08208024,2999.416177199185,565.7198348133833,1.3199968,1.1437132,0.14342052353424922,0.05443680111759692,0.04835834,0.045601655,14.314854,3.189483,13
